id,cluster,k
ANID_00dfe2a624ecab3b5aa03903befbd07b,1,4
ANID_025fa5620c54bec91d3e08fd5d2c9f94,1,4
ANID_0346e6609a02fdfa0e948e23544b9903,1,4
ANID_0462f398d00a99fcbd9aee6c71747ce3,3,4
ANID_066278afea715a58288f9ea5c2a842c7,1,4
ANID_0ac244a9086605f8fea26df3637ac282,3,4
ANID_0c1511af7460108ee7504aa18727851a,3,4
ANID_0d13a1f0489f4e862d75766126cf0398,3,4
ANID_10b06b1c7a060671ccb460c1b3c8c132,1,4
ANID_1257849af4e085c61536fd386d731ef7,1,4
ANID_152d6e55ca15e5e96a694eb8c4199c03,1,4
ANID_16e0dd6be1bee971178062d54ec194b4,3,4
ANID_18b9dd3b4ec63d7d3adddaea4920ee1d,1,4
ANID_1a196d1ba979f99afc44e911bcfc03d7,3,4
ANID_1cdcc27baed90770ad315df5b37ad661,1,4
ANID_22bc1107ce372215b968f91edb49dd73,3,4
ANID_2533f07cebb826b4f105a298f41d2dc3,3,4
ANID_2563bbec0ecb396e936179fe31b0c1a1,1,4
ANID_25fa4e87d736c3bc42e040e6e837d45b,1,4
ANID_2693009ea148f52d2b7794ef4f45bd8d,3,4
ANID_269e9d28962aea9115360bccde27c115,1,4
ANID_2805b7797b3e7ba2266a0a1905879b4d,3,4
ANID_2f0f4bc143206c79207f3519a6e8eefe,3,4
ANID_300cdb8e34706fb420f95963efe6b30d,3,4
ANID_30899a0ade6206208de16ddea10e2e67,1,4
ANID_344be1546f5544669e9d1907a9552d84,3,4
ANID_373c797ee3a4bee8a58bb1dfc8b25428,1,4
ANID_38f3295ef2c0f05f988fe4278ae55def,1,4
ANID_3974e4fd27f7b1f1c0e6c589edd4dc8e,1,4
ANID_3ad6367b4bce0fce2f1db742d7082d0b,3,4
ANID_3b15aadbe175d336f35c7610faac55e4,1,4
ANID_3cbf0c00e4de45fc4dba94e7de69068d,3,4
ANID_3e822ff69a222a32a36a27c07ba79259,3,4
ANID_3fdf6184f216f40a5e75b7ebd7b94ee2,1,4
ANID_442b5167e09103c6ac497ce76161c461,1,4
ANID_47af5e129af870955479ed650495b295,1,4
ANID_4ce72586fca31df42a305357deb99930,1,4
ANID_4e41b557a150510c6277fb6938b1562e,3,4
ANID_4e45f422abe2f913393b39d1cf7f043b,1,4
ANID_523df9f34a0fbd46ffdb36568617a0a7,1,4
ANID_53efa9f0a8eb3a60b5e3bb3aaf709998,1,4
ANID_57a9ac73d87e36acde27c6ff31f410af,3,4
ANID_5b1bcade7def555c48e38c6144602b04,3,4
ANID_5ce90e3632fdc557d6740b9e1bb83549,3,4
ANID_5e534e118b3059d3dfa3e0c64c5ca401,1,4
ANID_6325e888a74d672f1de31be6dbe25f36,1,4
ANID_64e616a285246dd5e24ae1c6705d3050,1,4
ANID_6986ac6c5df118d9dd7ad8d536c7c552,3,4
ANID_6992bee504ef1f8b21174d56e637c70a,1,4
ANID_6ac0f0bc76ee9b4d503e5b7ae41e5069,1,4
ANID_6fa5a5eeaf6bde4830ddca5115e3f210,3,4
ANID_7159f536bd3ef9611f4491ca35814633,3,4
ANID_71e437ca759197f1be751e58ab4569f2,3,4
ANID_7468e4552764582c830b64d927eb374a,1,4
ANID_7568305651f499c3f37ac3de1f01d4c9,3,4
ANID_7bec25c3ccba579e2cfe7b0ac164fd1b,1,4
ANID_7d08f96b0221ac2e3103f4192a4f2cf5,3,4
ANID_7d0f0061cb59e23a4551c2d8b7a13c25,1,4
ANID_7f8cfdecae5bf1fd802fb5c7ba07b34f,1,4
ANID_80a3cb486cd101cf8caef4836405d1ed,1,4
ANID_84b02f419764badab1fdb83683b19bb5,3,4
ANID_86dcb6faf3a2b2d383f33caa01882ce4,3,4
ANID_8c3b1a71749478c4bdf16e66be1a2356,3,4
ANID_8dffd1965e1f4fc7f3805db351677794,3,4
ANID_9006b50ab8b8426a88aa00ee70d82fc3,3,4
ANID_912d0fb4b99dd6be7956100723dd4106,3,4
ANID_92aba56059333431c26c4e0fc277b3f2,1,4
ANID_9635e8962cff5f66f305f39a571d890b,3,4
ANID_98f1db7576bac4f06c124f8f1e6acaea,1,4
ANID_9ed2e2b0062aad59e8de2118578c09ff,3,4
ANID_Infor_0e4dc18eb9c8d5b80cdc21ab77cbb491,3,4
ANID_Infor_12b7c1632b2e42b60e3aaa7a1c1d75e5,1,4
ANID_Infor_1642567f23ffc8add575f86606891dd4,1,4
ANID_Infor_18524c00319ae17c43d103a83f576462,1,4
ANID_Infor_306b472bfa31f549e2b5a480507b085b,1,4
ANID_Infor_3a2d0a93544a0e64c19f1daeb4abad5c,3,4
ANID_Infor_4107284e2c9becb4e3b84b02445fc0d8,3,4
ANID_Infor_4191714c707b14cb8aabd3d9a00a717d,1,4
ANID_Infor_4ca3f26abe4f9a21b3cb428c1eedd148,1,4
ANID_Infor_5cb3995c0ad8304748ca7e66e1134dfa,3,4
ANID_Infor_670be884d10edf27f9a708611f59eae1,3,4
ANID_Infor_688458dcd23cf091cc065083c0716be7,1,4
ANID_Infor_71e705214d4a67e31358373e920af3d6,3,4
ANID_Infor_7449b64b5de076a73e7438da8fae748c,3,4
ANID_Infor_77c4cb35f133582c7c060e609072b23e,1,4
ANID_Infor_85729c0f4b4851b4f861a4270b4c24a7,3,4
ANID_Infor_858c29326e827ce92eb03eda66120f33,1,4
ANID_Infor_899c535bc799383ef03331bed4c4ea7d,1,4
ANID_Infor_8f497265a79c67ea49a68c5b47c1c969,1,4
ANID_Infor_91ec8ebff3c7dfbb4fa85ded892c6fc9,1,4
ANID_Infor_9bcb34af2869e93b977bad19a879309e,1,4
ANID_Infor_a4e072b5fc3c8dc745253e844330f2d4,1,4
ANID_Infor_a4e3040984b0a47f30258c494ed302d0,1,4
ANID_Infor_a77f02560ba322fba5deb93991af7e27,1,4
ANID_Infor_acd8c7be3c53f27424e03ce60ff0daa8,3,4
ANID_Infor_b3ab3bead2b05ed037cf39591de2dacd,1,4
ANID_Infor_bc11a89554e9c6bc1025522777f0b73e,3,4
ANID_Infor_c841c7777d923d7abfb2bcad3a168bfb,3,4
ANID_Infor_c95470af927f69fb6f35c82af104f77f,3,4
ANID_Infor_d1743f4c1f6db5bbd8d7da0d4e27ff69,1,4
ANID_Infor_da964d12801999d36006d8e543db9601,1,4
ANID_Infor_f8f518c988c0832cb1aef984b82ef748,3,4
ANID_a3dca77714b757527e81a3c59e7cf14f,1,4
ANID_a4c6a0642e9ddef6471585da99ceff5b,1,4
ANID_b2b83c83b2ba5ffc7ed4737bc7f426d8,3,4
ANID_b4db55af3ae3ceb25b7332ca56228e50,1,4
ANID_b7e18cd05742fc0cb54b190612db770f,1,4
ANID_bccb2d66df901203b4246ccc8f118c95,1,4
ANID_c0925d1edfc5bcece55ee4104ae98af9,3,4
ANID_c34a0efa36bb918310999750ba773a79,1,4
ANID_c7a94e75a7156a994c5e2dc82f1dbf56,1,4
ANID_c7c0b80221d05968190764e831bebe67,3,4
ANID_c941dbec3a655fe22132db8919d45b17,3,4
ANID_cb87fb19f93773e6b9eef61f90be742c,3,4
ANID_d6ad8ec76a565696785e21c03792cc8b,1,4
ANID_d7d45b77fd926c55de777ef4ef7555cc,3,4
ANID_dab01b132f58ad5e7a9f4abc9b00fde1,1,4
ANID_db7ecafdc35a7ed0e2792137ad97128a,3,4
ANID_dbb0ceb67fe7c0cda47970c7963341b6,3,4
ANID_dbd6920689ef4012f944635058c29d23,1,4
ANID_de7ed6e2238249ef0ddd66cb227ab032,1,4
ANID_dff7c6b7f97f5231ae10adfe0edd7203,3,4
ANID_e0c0f82b2311038dfebf54002ec06dc8,3,4
ANID_e261b377bb742dbd86a9d8b77dfb162b,3,4
ANID_e55c7c7e26a814d871429ddcc8af1ebf,3,4
ANID_e6411a030c5904ea99ce1bda5b3800bd,1,4
ANID_e8bff29680ab169c7efa911460fde389,1,4
ANID_ed669e84fd0fcdc9343b4453b7d9178c,1,4
ANID_ed7d56de0ae729fdaeb6a09e9582da53,1,4
ANID_ed9b6f1dfc76f56f94f99c6cf9756cb2,3,4
ANID_ef413a30a988e222f2e512e025b75cf2,3,4
ANID_f54cc29aec6fded06506d2cf3be315a0,1,4
ANID_f5522d3a8981e93245725c8374525226,3,4
ANID_f77a922f22b3f88276e58dbb89ef9a6a,3,4
ANID_fb3172ee2117fd2cc47f7f1bb055436a,3,4
ANID_ff2c32142b129a447c0cbf37575eebc9,3,4
PUC_009f87c6c37fa4e1b8611ab3f0a45fd2,3,4
PUC_01276afa8e4e67071d27b55924ab5f60,3,4
PUC_01bd969bcdaa44563646fd5465010e90,3,4
