cluster,palabra,score,k
1,turberas,0.31408987356656387,4
1,aves,0.26379629033957147,4
1,open,0.2548525745175712,4
1,genes,0.25446213451743926,4
1,per,0.2512591810467133,4
1,medios,0.2261392741512826,4
1,humedales,0.2159415342342684,4
1,bacteria,0.21499326458380352,4
1,nutrientes,0.2104296174866451,4
1,mass,0.20627469854203898,4
1,artículo,0.1870171977318776,4
1,carbono,0.18224833648763486,4
1,incendios,0.18083698907110002,4
1,media,0.1787311223698035,4
1,educación,0.17830871711155682,4
2,ambiental,1.3576232339864025,4
2,sistemas,1.1591288400065671,4
2,ambientales,1.1058229946828662,4
2,tesis,1.0452273068606666,4
2,universidad,0.9358950845065818,4
2,molecular,0.90788429996174,4
2,diseño,0.8605738000521079,4
2,paisaje,0.8399008710908296,4
2,urbano,0.678372869316308,4
2,ecology,0.6424557539212921,4
2,recursos,0.634400974093704,4
2,naturales,0.5775235387827183,4
2,proyecto,0.5775235387827183,4
2,biological,0.5332912607606747,4
2,chile,0.2705596112821763,4
3,cal,0.3020547902773444,4
3,media,0.2567398519213499,4
3,soc,0.2554073072349243,4
3,fog,0.23847451356932442,4
3,seed,0.23525507600464735,4
3,bosque,0.22385712245419068,4
3,innovation,0.21464740893749862,4
3,nui,0.20239827546404196,4
3,rapa,0.19684147100914468,4
3,delta,0.19677607973676237,4
3,governance,0.18218689439930172,4
3,kelp,0.1798372449220426,4
3,biocultural,0.17972650719353456,4
3,fire,0.17914664978338218,4
3,wildfire,0.1693295697847793,4
4,memoria,1.7854562890152625,4
4,título,1.3192014951049635,4
4,industrial,1.1306214488605133,4
4,tesis,1.0685054615589145,4
4,ambiental,0.9805056689901795,4
4,ambiente,0.6779672851469775,4
4,naturales,0.641692820869687,4
4,recursos,0.634400974093704,4
4,medio,0.5781979983421897,4
4,universidad,0.5573091878991965,4
4,conservación,0.4931571216682444,4
4,chile,0.16221989541543763,4
1,memoria,1.7854562890152625,5
1,título,1.3192014951049635,5
1,industrial,1.1306214488605133,5
1,tesis,1.0685054615589145,5
1,ambiental,0.9805056689901795,5
1,ambiente,0.6779672851469775,5
1,naturales,0.641692820869687,5
1,recursos,0.634400974093704,5
1,medio,0.5781979983421897,5
1,universidad,0.5573091878991965,5
1,conservación,0.4931571216682444,5
1,chile,0.16221989541543763,5
2,cal,0.3020547902773444,5
2,media,0.2567398519213499,5
2,soc,0.2554073072349243,5
2,fog,0.23847451356932442,5
2,seed,0.23525507600464735,5
2,bosque,0.22385712245419068,5
2,innovation,0.21464740893749862,5
2,nui,0.20239827546404196,5
2,rapa,0.19684147100914468,5
2,delta,0.19677607973676237,5
2,governance,0.18218689439930172,5
2,kelp,0.1798372449220426,5
2,biocultural,0.17972650719353456,5
2,fire,0.17914664978338218,5
2,wildfire,0.1693295697847793,5
3,ambiental,1.3576232339864025,5
3,sistemas,1.1591288400065671,5
3,ambientales,1.1058229946828662,5
3,tesis,1.0452273068606666,5
3,universidad,0.9358950845065818,5
3,molecular,0.90788429996174,5
3,diseño,0.8605738000521079,5
3,paisaje,0.8399008710908296,5
3,urbano,0.678372869316308,5
3,ecology,0.6424557539212921,5
3,recursos,0.634400974093704,5
3,naturales,0.5775235387827183,5
3,proyecto,0.5775235387827183,5
3,biological,0.5332912607606747,5
3,chile,0.2705596112821763,5
4,turberas,0.31408987356656387,5
4,aves,0.26379629033957147,5
4,open,0.2548525745175712,5
4,genes,0.25446213451743926,5
4,per,0.2512591810467133,5
4,medios,0.2261392741512826,5
4,humedales,0.2159415342342684,5
4,bacteria,0.21499326458380352,5
4,nutrientes,0.2104296174866451,5
4,mass,0.20627469854203898,5
4,artículo,0.1870171977318776,5
4,carbono,0.18224833648763486,5
4,incendios,0.18083698907110002,5
4,media,0.1787311223698035,5
4,educación,0.17830871711155682,5
5,background,3.6109179126442243,5
1,tesis,1.299672508530795,6
1,título,1.2274923002580944,6
1,industrial,1.1306214488605133,6
1,ambiental,0.9805056689901795,6
1,naturales,0.641692820869687,6
1,recursos,0.634400974093704,6
1,conservación,0.4931571216682444,6
2,sistemas,1.1591288400065671,6
2,ambientales,1.1058229946828662,6
2,universidad,0.9358950845065818,6
2,molecular,0.90788429996174,6
2,diseño,0.8605738000521079,6
2,tesis,0.8483416346006059,6
2,paisaje,0.8399008710908296,6
2,urbano,0.678372869316308,6
2,ecology,0.6424557539212921,6
