rank,c1_palabra,c2_palabra,c3_palabra,c4_palabra,c5_palabra,c1_score,c2_score,c3_score,c4_score,c5_score
1,memoria,cal,ambiental,turberas,background,1.7854562890152623,0.3020547902773444,1.3576232339864025,0.31408987356656387,3.610917912644224
2,título,media,sistemas,aves,NA,1.3192014951049635,0.2567398519213499,1.1591288400065671,0.26379629033957147,NA
3,industrial,soc,ambientales,open,NA,1.1306214488605133,0.2554073072349243,1.1058229946828662,0.2548525745175712,NA
4,tesis,fog,tesis,genes,NA,1.0685054615589145,0.2384745135693244,1.0452273068606666,0.25446213451743926,NA
5,ambiental,seed,universidad,per,NA,0.9805056689901795,0.23525507600464737,0.9358950845065818,0.2512591810467133,NA
6,ambiente,bosque,molecular,medios,NA,0.6779672851469775,0.22385712245419068,0.90788429996174,0.2261392741512826,NA
7,naturales,innovation,diseño,humedales,NA,0.641692820869687,0.21464740893749865,0.8605738000521079,0.2159415342342684,NA
8,recursos,nui,paisaje,bacteria,NA,0.634400974093704,0.20239827546404196,0.8399008710908296,0.21499326458380352,NA
9,medio,rapa,urbano,nutrientes,NA,0.5781979983421897,0.19684147100914468,0.678372869316308,0.2104296174866451,NA
10,universidad,delta,ecology,mass,NA,0.5573091878991965,0.19677607973676237,0.6424557539212921,0.20627469854203895,NA
11,conservación,governance,recursos,artículo,NA,0.4931571216682444,0.18218689439930172,0.634400974093704,0.1870171977318776,NA
12,chile,kelp,naturales,carbono,NA,0.16221989541543763,0.1798372449220426,0.5775235387827183,0.1822483364876349,NA
13,NA,biocultural,proyecto,incendios,NA,NA,0.17972650719353456,0.5775235387827183,0.1808369890711,NA
14,NA,fire,biological,media,NA,NA,0.17914664978338218,0.5332912607606747,0.1787311223698035,NA
15,NA,wildfire,chile,educación,NA,NA,0.1693295697847793,0.2705596112821763,0.17830871711155682,NA
